Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,1,1,-2.295170175
"Fructose, MEOX-5TMS",Carbohydrates,RL,1,1,0.602576358
Glyceric acid 3TMS,Organic acids,RL,1,1,-1.566319406
"Lactose, TMS",Carbohydrates,RL,1,1,-0.45809045
β-D-Glucopyranose TMS,Carbohydrates,RL,1,1,-1.190062202
5-Methoxyindoleacetic acid,Indoles,RL,1,1,0.331075645
Erythrose MEOX-3TMS,Carbohydrates,RL,1,1,-2.796980387
Glucose-MOX-5TMS-PK11,Carbohydrates,RL,1,1,-0.686658774
"Xylose, TMS",Carbohydrates,RL,1,1,-1.293956852
"Myo-Inositol, 6TMS",Carbohydrates,RL,1,1,-1.288079957
"Palmitic acid, TMS",Fatty acids,RL,1,1,-1.081290171
L-Rhamnose 4TMS,Carbohydrates,RL,1,1,-0.847638284
"Myristic acid, TMS",Fatty acids,RL,1,1,-1.770947316
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,1,1,-1.604403811
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,1,1,-1.174458987
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,1,1,-1.860632039
"2-Palmitoylglycerol, 2TMS",,RL,1,1,0.475354975
"Altronic acid, 1,4-lactone, TMS",,RL,1,1,-1.238442588
"Uridine, tris-TMS",Nucleic acids,RL,1,1,-0.869729972
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,1,1,-1.280798552
Monostearin TMS,,RL,1,1,1.437468311
Adenine 2TMS,Nucleic acids,RL,1,2,-0.612289346
Serine 3TMS,Amino acids,RL,1,2,-0.907067398
L-Threonine 3TMS,Amino acids,RL,1,2,-0.620383644
Malic acid 3TMS,Organic acids,RL,1,2,0.644286966
L-Aspartic acid 3TMS,Amino acids,RL,1,2,-0.870272551
"Pipecolic acid, TMS derivative",Alkaloids,RL,1,2,-0.576261289
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,1,2,0.171412637
Tryptamine,Alkaloids,RL,1,2,-0.516836093
Phenylpyruvic acid oxime 2TMS,,RL,1,2,0.087056649
L-Glutamine 3TMS,Amino acids,RL,1,2,-0.636859406
L-phenylalanine 2TMS,Amino acids,RL,1,2,-0.837652381
L-(+)-Tartaric acid 4TMS,Organic acids,RL,1,2,-0.272446549
2-Keto-L-gulonic acid,Carbohydrates,RL,1,2,-0.522190875
"Arabinose, 4TMS",Carbohydrates,RL,1,2,0.666839883
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,1,2,-0.045940034
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,1,2,-1.717851627
"Fructose, MEOX-5TMS",Carbohydrates,RL,1,2,-0.979150534
Glyceric acid 3TMS,Organic acids,RL,1,2,-1.157616063
"Lactose, TMS",Carbohydrates,RL,1,2,-0.169497178
β-D-Glucopyranose TMS,Carbohydrates,RL,1,2,-0.70505079
5-Methoxyindoleacetic acid,Indoles,RL,1,2,0.649564429
Erythrose MEOX-3TMS,Carbohydrates,RL,1,2,0.039049747
Glucose-MOX-5TMS-PK11,Carbohydrates,RL,1,2,0.700164358
"Xylose, TMS",Carbohydrates,RL,1,2,-1.237931689
"Myo-Inositol, 6TMS",Carbohydrates,RL,1,2,-0.888446473
"Palmitic acid, TMS",Fatty acids,RL,1,2,-1.002899733
L-Rhamnose 4TMS,Carbohydrates,RL,1,2,-1.907001473
"Myristic acid, TMS",Fatty acids,RL,1,2,-0.464953237
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,1,2,-0.855063233
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,1,2,-1.089118422
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,1,2,-1.115297201
"2-Palmitoylglycerol, 2TMS",,RL,1,2,0.067037417
"Altronic acid, 1,4-lactone, TMS",,RL,1,2,-0.867816034
"Uridine, tris-TMS",Nucleic acids,RL,1,2,-0.846748762
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,1,2,-0.799754168
Monostearin TMS,,RL,1,2,1.254824158
Adenine 2TMS,Nucleic acids,RL,1,3,-0.921135946
Serine 3TMS,Amino acids,RL,1,3,-0.727215893
L-Threonine 3TMS,Amino acids,RL,1,3,-0.59039988
Malic acid 3TMS,Organic acids,RL,1,3,0.415018189
L-Aspartic acid 3TMS,Amino acids,RL,1,3,-1.137769127
"Pipecolic acid, TMS derivative",Alkaloids,RL,1,3,-0.396577321
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,1,3,-1.338608012
Tryptamine,Alkaloids,RL,1,3,-3.728106119
Phenylpyruvic acid oxime 2TMS,,RL,1,3,-0.106959673
L-Glutamine 3TMS,Amino acids,RL,1,3,-0.733004307
L-phenylalanine 2TMS,Amino acids,RL,1,3,-1.073079706
L-(+)-Tartaric acid 4TMS,Organic acids,RL,1,3,-0.432231989
2-Keto-L-gulonic acid,Carbohydrates,RL,1,3,-0.775918149
"Arabinose, 4TMS",Carbohydrates,RL,1,3,0.404066669
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,1,3,-0.733860847
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,1,3,-1.937941134
"Fructose, MEOX-5TMS",Carbohydrates,RL,1,3,-1.006116558
Glyceric acid 3TMS,Organic acids,RL,1,3,0.444313676
"Lactose, TMS",Carbohydrates,RL,1,3,-1.117514667
β-D-Glucopyranose TMS,Carbohydrates,RL,1,3,-0.91900994
5-Methoxyindoleacetic acid,Indoles,RL,1,3,0.385932604
Erythrose MEOX-3TMS,Carbohydrates,RL,1,3,-1.296398489
Glucose-MOX-5TMS-PK12,Carbohydrates,RL,1,3,-0.820067622
"Xylose, TMS",Carbohydrates,RL,1,3,-1.403432767
"Myo-Inositol, 6TMS",Carbohydrates,RL,1,3,-1.253270379
"Palmitic acid, TMS",Fatty acids,RL,1,3,-1.162816121
L-Rhamnose 4TMS,Carbohydrates,RL,1,3,-0.460935297
"Myristic acid, TMS",Fatty acids,RL,1,3,-1.477958121
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,1,3,-0.94896456
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,1,3,-1.083801653
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,1,3,-1.399627941
"2-Palmitoylglycerol, 2TMS",,RL,1,3,-0.930172081
"Altronic acid, 1,4-lactone, TMS",,RL,1,3,-1.009105347
"Uridine, tris-TMS",Nucleic acids,RL,1,3,-0.946682173
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,1,3,-0.983136606
Monostearin TMS,,RL,1,3,1.038352381
Adenine 2TMS,Nucleic acids,RL,1,4,-0.550954621
Serine 3TMS,Amino acids,RL,1,4,-0.787254186
L-Threonine 3TMS,Amino acids,RL,1,4,-0.466898063
Malic acid 3TMS,Organic acids,RL,1,4,0.772400892
L-Aspartic acid 3TMS,Amino acids,RL,1,4,-0.646481264
"Pipecolic acid, TMS derivative",Alkaloids,RL,1,4,-0.184618523
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,1,4,-1.006425135
Tryptamine,Alkaloids,RL,1,4,-0.295625161
Phenylpyruvic acid oxime 2TMS,,RL,1,4,0.13105649
L-Glutamine 3TMS,Amino acids,RL,1,4,-0.556379537
L-phenylalanine 2TMS,Amino acids,RL,1,4,-0.640688906
L-(+)-Tartaric acid 4TMS,Organic acids,RL,1,4,-0.026698651
2-Keto-L-gulonic acid,Carbohydrates,RL,1,4,-0.891281179
"Arabinose, 4TMS",Carbohydrates,RL,1,4,1.724615313
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,1,4,-0.618887983
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,1,4,-1.533720826
"Fructose, MEOX-5TMS",Carbohydrates,RL,1,4,-0.977473024
Glyceric acid 3TMS,Organic acids,RL,1,4,-1.027268674
"Lactose, TMS",Carbohydrates,RL,1,4,-0.643795249
β-D-Glucopyranose TMS,Carbohydrates,RL,1,4,-0.448545944
5-Methoxyindoleacetic acid,Indoles,RL,1,4,-1.578737839
Erythrose MEOX-3TMS,Carbohydrates,RL,1,4,0.099031153
Glucose-MOX-5TMS-PK12,Carbohydrates,RL,1,4,0.699688288
"Xylose, TMS",Carbohydrates,RL,1,4,-0.8248821
"Myo-Inositol, 6TMS",Carbohydrates,RL,1,4,-0.771562665
"Palmitic acid, TMS",Fatty acids,RL,1,4,-0.799604432
L-Rhamnose 4TMS,Carbohydrates,RL,1,4,-0.560052618
"Myristic acid, TMS",Fatty acids,RL,1,4,-0.104528217
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,1,4,-0.648619954
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,1,4,-1.049954977
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,1,4,-0.87734389
"2-Palmitoylglycerol, 2TMS",,RL,1,4,-0.344308938
"Altronic acid, 1,4-lactone, TMS",,RL,1,4,-0.749612342
"Uridine, tris-TMS",Nucleic acids,RL,1,4,-1.01796083
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,1,4,-0.646335088
Monostearin TMS,,RL,1,4,-0.871917061
Adenine 2TMS,Nucleic acids,RL,1,5,-0.961239912
Serine 3TMS,Amino acids,RL,1,5,-1.195462902
L-Threonine 3TMS,Amino acids,RL,1,5,-0.905591978
Malic acid 3TMS,Organic acids,RL,1,5,0.455298546
L-Aspartic acid 3TMS,Amino acids,RL,1,5,-0.815276882
"Pipecolic acid, TMS derivative",Alkaloids,RL,1,5,-1.694630457
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,1,5,-0.28637412
Tryptamine,Alkaloids,RL,1,5,-0.52715318
Phenylpyruvic acid oxime 2TMS,,RL,1,5,-0.038136411
L-Glutamine 3TMS,Amino acids,RL,1,5,-0.617084569
L-phenylalanine 2TMS,Amino acids,RL,1,5,-0.789249631
L-(+)-Tartaric acid 4TMS,Organic acids,RL,1,5,-0.500510316
2-Keto-L-gulonic acid,Carbohydrates,RL,1,5,-0.859518021
"Arabinose, 4TMS",Carbohydrates,RL,1,5,0.521344761
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,1,5,-0.054096314
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,1,5,-1.672602395
"Fructose, MEOX-5TMS",Carbohydrates,RL,1,5,-0.99056222
Glyceric acid 3TMS,Organic acids,RL,1,5,-1.125583736
"Lactose, TMS",Carbohydrates,RL,1,5,-0.010723638
β-D-Glucopyranose TMS,Carbohydrates,RL,1,5,-0.9077016
5-Methoxyindoleacetic acid,Indoles,RL,1,5,0.507746643
Erythrose MEOX-3TMS,Carbohydrates,RL,1,5,-0.734552592
Glucose-MOX-5TMS-PK13,Carbohydrates,RL,1,5,-0.744038865
"Xylose, TMS",Carbohydrates,RL,1,5,-1.407665407
"Myo-Inositol, 6TMS",Carbohydrates,RL,1,5,-1.170970063
"Palmitic acid, TMS",Fatty acids,RL,1,5,-1.041724444
L-Rhamnose 4TMS,Carbohydrates,RL,1,5,-0.770646652
"Myristic acid, TMS",Fatty acids,RL,1,5,-1.260344259
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,1,5,-0.980686372
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,1,5,-0.836870359
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,1,5,-1.056826147
"2-Palmitoylglycerol, 2TMS",,RL,1,5,-0.295017357
"Altronic acid, 1,4-lactone, TMS",,RL,1,5,-0.838767971
"Uridine, tris-TMS",Nucleic acids,RL,1,5,-1.132644031
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,1,5,-0.76205207
Monostearin TMS,,RL,1,5,-0.855892684
Adenine 2TMS,Nucleic acids,RL,CTRL,1,-0.026083741
Serine 3TMS,Amino acids,RL,CTRL,1,-0.488931359
L-Threonine 3TMS,Amino acids,RL,CTRL,1,-0.360969977
Malic acid 3TMS,Organic acids,RL,CTRL,1,-0.663287824
L-Aspartic acid 3TMS,Amino acids,RL,CTRL,1,-0.432868127
"Pipecolic acid, TMS derivative",Alkaloids,RL,CTRL,1,0.34686073
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,CTRL,1,0.869878972
Tryptamine,Alkaloids,RL,CTRL,1,-1.00531379
Phenylpyruvic acid oxime 2TMS,,RL,CTRL,1,-0.066026693
L-Glutamine 3TMS,Amino acids,RL,CTRL,1,-0.479539927
L-phenylalanine 2TMS,Amino acids,RL,CTRL,1,-0.452682633
L-(+)-Tartaric acid 4TMS,Organic acids,RL,CTRL,1,-1.047377469
2-Keto-L-gulonic acid,Carbohydrates,RL,CTRL,1,-1.920183954
"Arabinose, 4TMS",Carbohydrates,RL,CTRL,1,1.178780041
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,CTRL,1,-0.568897901
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,CTRL,1,1.315620571
"Fructose, MEOX-5TMS",Carbohydrates,RL,CTRL,1,2.209782627
Glyceric acid 3TMS,Organic acids,RL,CTRL,1,-0.902850014
"Lactose, TMS",Carbohydrates,RL,CTRL,1,-0.647512047
β-D-Glucopyranose TMS,Carbohydrates,RL,CTRL,1,-0.196601586
5-Methoxyindoleacetic acid,Indoles,RL,CTRL,1,0.925782025
Erythrose MEOX-3TMS,Carbohydrates,RL,CTRL,1,-0.574717067
Glucose-MOX-5TMS-PK13,Carbohydrates,RL,CTRL,1,-0.624583614
"Xylose, TMS",Carbohydrates,RL,CTRL,1,-0.344623514
"Myo-Inositol, 6TMS",Carbohydrates,RL,CTRL,1,-0.497178158
"Palmitic acid, TMS",Fatty acids,RL,CTRL,1,-0.197205527
L-Rhamnose 4TMS,Carbohydrates,RL,CTRL,1,-0.093127925
"Myristic acid, TMS",Fatty acids,RL,CTRL,1,0.338283666
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,CTRL,1,-0.016121869
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,CTRL,1,-0.583004076
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,CTRL,1,1.127329664
"2-Palmitoylglycerol, 2TMS",,RL,CTRL,1,0.710194417
"Altronic acid, 1,4-lactone, TMS",,RL,CTRL,1,-0.636785018
"Uridine, tris-TMS",Nucleic acids,RL,CTRL,1,-0.067922927
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,CTRL,1,-0.499894126
Monostearin TMS,,RL,CTRL,1,-0.714263367
Adenine 2TMS,Nucleic acids,RL,CTRL,2,0.226862824
Serine 3TMS,Amino acids,RL,CTRL,2,-1.280556245
L-Threonine 3TMS,Amino acids,RL,CTRL,2,-0.659142226
Malic acid 3TMS,Organic acids,RL,CTRL,2,-1.667525204
L-Aspartic acid 3TMS,Amino acids,RL,CTRL,2,-0.151152325
"Pipecolic acid, TMS derivative",Alkaloids,RL,CTRL,2,-1.23417447
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,CTRL,2,0.706191479
Tryptamine,Alkaloids,RL,CTRL,2,-1.04419701
Phenylpyruvic acid oxime 2TMS,,RL,CTRL,2,-0.277353268
L-Glutamine 3TMS,Amino acids,RL,CTRL,2,-0.378186724
L-phenylalanine 2TMS,Amino acids,RL,CTRL,2,-0.204736851
L-(+)-Tartaric acid 4TMS,Organic acids,RL,CTRL,2,-2.853643119
2-Keto-L-gulonic acid,Carbohydrates,RL,CTRL,2,-1.692707256
"Arabinose, 4TMS",Carbohydrates,RL,CTRL,2,1.124576837
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,CTRL,2,-0.026541915
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,CTRL,2,1.036259684
"Fructose, MEOX-5TMS",Carbohydrates,RL,CTRL,2,0.580752566
Glyceric acid 3TMS,Organic acids,RL,CTRL,2,-0.738765424
"Lactose, TMS",Carbohydrates,RL,CTRL,2,-0.397508368
β-D-Glucopyranose TMS,Carbohydrates,RL,CTRL,2,-0.261366252
5-Methoxyindoleacetic acid,Indoles,RL,CTRL,2,0.576326168
Erythrose MEOX-3TMS,Carbohydrates,RL,CTRL,2,-0.768088803
Glucose-MOX-5TMS-PK14,Carbohydrates,RL,CTRL,2,-0.712666966
"Xylose, TMS",Carbohydrates,RL,CTRL,2,-0.507210611
"Myo-Inositol, 6TMS",Carbohydrates,RL,CTRL,2,-0.634787795
"Palmitic acid, TMS",Fatty acids,RL,CTRL,2,0.298516177
L-Rhamnose 4TMS,Carbohydrates,RL,CTRL,2,-1.396399048
"Myristic acid, TMS",Fatty acids,RL,CTRL,2,-0.812205788
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,CTRL,2,0.46350283
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,CTRL,2,-0.986717604
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,CTRL,2,1.58435241
"2-Palmitoylglycerol, 2TMS",,RL,CTRL,2,0.696232279
"Altronic acid, 1,4-lactone, TMS",,RL,CTRL,2,-0.487987189
"Uridine, tris-TMS",Nucleic acids,RL,CTRL,2,-0.307602215
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,CTRL,2,-0.306766298
Monostearin TMS,,RL,CTRL,2,-0.645098431
Adenine 2TMS,Nucleic acids,RL,CTRL,3,0.084387456
Serine 3TMS,Amino acids,RL,CTRL,3,-2.034925111
L-Threonine 3TMS,Amino acids,RL,CTRL,3,-0.680235187
Malic acid 3TMS,Organic acids,RL,CTRL,3,-1.70144412
L-Aspartic acid 3TMS,Amino acids,RL,CTRL,3,-0.183307676
"Pipecolic acid, TMS derivative",Alkaloids,RL,CTRL,3,-1.256468612
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,CTRL,3,0.453824523
Tryptamine,Alkaloids,RL,CTRL,3,-1.488668877
Phenylpyruvic acid oxime 2TMS,,RL,CTRL,3,-0.008639166
L-Glutamine 3TMS,Amino acids,RL,CTRL,3,-0.389755897
L-phenylalanine 2TMS,Amino acids,RL,CTRL,3,-0.233037679
L-(+)-Tartaric acid 4TMS,Organic acids,RL,CTRL,3,-1.286436522
2-Keto-L-gulonic acid,Carbohydrates,RL,CTRL,3,-1.71867192
"Arabinose, 4TMS",Carbohydrates,RL,CTRL,3,0.289761418
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,CTRL,3,3.236034292
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,CTRL,3,1.16866397
"Fructose, MEOX-5TMS",Carbohydrates,RL,CTRL,3,0.51202319
Glyceric acid 3TMS,Organic acids,RL,CTRL,3,0.842437849
"Lactose, TMS",Carbohydrates,RL,CTRL,3,-0.397669624
β-D-Glucopyranose TMS,Carbohydrates,RL,CTRL,3,-0.553049816
5-Methoxyindoleacetic acid,Indoles,RL,CTRL,3,0.676111161
Erythrose MEOX-3TMS,Carbohydrates,RL,CTRL,3,-0.837364964
Glucose-MOX-5TMS-PK14,Carbohydrates,RL,CTRL,3,-0.739504078
"Xylose, TMS",Carbohydrates,RL,CTRL,3,-0.563236978
"Myo-Inositol, 6TMS",Carbohydrates,RL,CTRL,3,-0.688727831
"Palmitic acid, TMS",Fatty acids,RL,CTRL,3,0.023141756
L-Rhamnose 4TMS,Carbohydrates,RL,CTRL,3,-1.419231089
"Myristic acid, TMS",Fatty acids,RL,CTRL,3,-0.833903539
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,CTRL,3,0.141452781
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,CTRL,3,-0.291322352
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,CTRL,3,-0.384757468
"2-Palmitoylglycerol, 2TMS",,RL,CTRL,3,0.79333864
"Altronic acid, 1,4-lactone, TMS",,RL,CTRL,3,-0.504971125
"Uridine, tris-TMS",Nucleic acids,RL,CTRL,3,-0.343570867
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,CTRL,3,-0.328810104
Monostearin TMS,,RL,CTRL,3,-0.679552412
Adenine 2TMS,Nucleic acids,RL,CTRL,4,0.040700132
Serine 3TMS,Amino acids,RL,CTRL,4,-1.922106254
L-Threonine 3TMS,Amino acids,RL,CTRL,4,-0.621593096
Malic acid 3TMS,Organic acids,RL,CTRL,4,-1.501731215
L-Aspartic acid 3TMS,Amino acids,RL,CTRL,4,0.0060215
"Pipecolic acid, TMS derivative",Alkaloids,RL,CTRL,4,-1.125201804
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,CTRL,4,0.553783232
Tryptamine,Alkaloids,RL,CTRL,4,-1.243151988
Phenylpyruvic acid oxime 2TMS,,RL,CTRL,4,-0.083409489
L-Glutamine 3TMS,Amino acids,RL,CTRL,4,-0.321635632
L-phenylalanine 2TMS,Amino acids,RL,CTRL,4,-0.066403688
L-(+)-Tartaric acid 4TMS,Organic acids,RL,CTRL,4,-2.648644138
2-Keto-L-gulonic acid,Carbohydrates,RL,CTRL,4,-1.565792651
"Arabinose, 4TMS",Carbohydrates,RL,CTRL,4,1.045889717
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,CTRL,4,-0.028275574
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,CTRL,4,-0.996853268
"Fructose, MEOX-5TMS",Carbohydrates,RL,CTRL,4,-0.946841071
Glyceric acid 3TMS,Organic acids,RL,CTRL,4,-0.647220066
"Lactose, TMS",Carbohydrates,RL,CTRL,4,-0.451420134
β-D-Glucopyranose TMS,Carbohydrates,RL,CTRL,4,-0.449137213
5-Methoxyindoleacetic acid,Indoles,RL,CTRL,4,0.533893006
Erythrose MEOX-3TMS,Carbohydrates,RL,CTRL,4,-0.812623332
Glucose-MOX-5TMS-PK15,Carbohydrates,RL,CTRL,4,-0.775488696
"Xylose, TMS",Carbohydrates,RL,CTRL,4,-0.569349603
"Myo-Inositol, 6TMS",Carbohydrates,RL,CTRL,4,-0.672092817
"Palmitic acid, TMS",Fatty acids,RL,CTRL,4,0.040697887
L-Rhamnose 4TMS,Carbohydrates,RL,CTRL,4,-1.284796818
"Myristic acid, TMS",Fatty acids,RL,CTRL,4,0.461544883
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,CTRL,4,0.145860833
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,CTRL,4,-1.713587518
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,CTRL,4,-0.18338684
"2-Palmitoylglycerol, 2TMS",,RL,CTRL,4,0.448376709
"Altronic acid, 1,4-lactone, TMS",,RL,CTRL,4,-0.404970551
"Uridine, tris-TMS",Nucleic acids,RL,CTRL,4,-0.49113357
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,CTRL,4,-0.199017263
Monostearin TMS,,RL,CTRL,4,1.348167225
Adenine 2TMS,Nucleic acids,RL,CTRL,5,0.000667705
Serine 3TMS,Amino acids,RL,CTRL,5,-1.946059267
L-Threonine 3TMS,Amino acids,RL,CTRL,5,-1.062182287
Malic acid 3TMS,Organic acids,RL,CTRL,5,-1.544132418
L-Aspartic acid 3TMS,Amino acids,RL,CTRL,5,-0.034175135
"Pipecolic acid, TMS derivative",Alkaloids,RL,CTRL,5,-1.153071163
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,CTRL,5,0.763062458
Tryptamine,Alkaloids,RL,CTRL,5,-1.454140128
Phenylpyruvic acid oxime 2TMS,,RL,CTRL,5,-0.699053519
L-Glutamine 3TMS,Amino acids,RL,CTRL,5,-0.336098579
L-phenylalanine 2TMS,Amino acids,RL,CTRL,5,-0.101781901
L-(+)-Tartaric acid 4TMS,Organic acids,RL,CTRL,5,-2.701071885
2-Keto-L-gulonic acid,Carbohydrates,RL,CTRL,5,-1.598250678
"Arabinose, 4TMS",Carbohydrates,RL,CTRL,5,0.975299323
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,CTRL,5,3.231102396
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,CTRL,5,1.109299688
"Fructose, MEOX-5TMS",Carbohydrates,RL,CTRL,5,2.061331638
Glyceric acid 3TMS,Organic acids,RL,CTRL,5,-0.670632454
"Lactose, TMS",Carbohydrates,RL,CTRL,5,-0.284349271
β-D-Glucopyranose TMS,Carbohydrates,RL,CTRL,5,-0.308518441
5-Methoxyindoleacetic acid,Indoles,RL,CTRL,5,0.825006901
Erythrose MEOX-3TMS,Carbohydrates,RL,CTRL,5,0.428846358
Glucose-MOX-5TMS-PK15,Carbohydrates,RL,CTRL,5,-0.757893688
"Xylose, TMS",Carbohydrates,RL,CTRL,5,-0.575997897
"Myo-Inositol, 6TMS",Carbohydrates,RL,CTRL,5,-0.533615681
"Palmitic acid, TMS",Fatty acids,RL,CTRL,5,0.256928483
L-Rhamnose 4TMS,Carbohydrates,RL,CTRL,5,-1.313338726
"Myristic acid, TMS",Fatty acids,RL,CTRL,5,-0.733272077
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,CTRL,5,0.381404187
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,CTRL,5,-0.534231553
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,CTRL,5,-0.226140503
"2-Palmitoylglycerol, 2TMS",,RL,CTRL,5,0.232472664
"Altronic acid, 1,4-lactone, TMS",,RL,CTRL,5,-0.426201751
"Uridine, tris-TMS",Nucleic acids,RL,CTRL,5,-0.41404705
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,CTRL,5,-0.226573682
Monostearin TMS,,RL,CTRL,5,1.337609204
Adenine 2TMS,Nucleic acids,SH,0.06,1,-1.177067265
Serine 3TMS,Amino acids,SH,0.06,1,0.630037735
L-Threonine 3TMS,Amino acids,SH,0.06,1,0.086076482
Malic acid 3TMS,Organic acids,SH,0.06,1,-1.19790078
L-Aspartic acid 3TMS,Amino acids,SH,0.06,1,0.294054962
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.06,1,0.472404568
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.06,1,1.230431896
Tryptamine,Alkaloids,SH,0.06,1,0.429304524
Phenylpyruvic acid oxime 2TMS,,SH,0.06,1,0.667190935
L-Glutamine 3TMS,Amino acids,SH,0.06,1,0.22594197
L-phenylalanine 2TMS,Amino acids,SH,0.06,1,0.187102948
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.06,1,0.67250352
2-Keto-L-gulonic acid,Carbohydrates,SH,0.06,1,0.369919502
"Arabinose, 4TMS",Carbohydrates,SH,0.06,1,-1.053288633
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.06,1,-0.398782753
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.06,1,-0.759864173
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.06,1,0.674141099
Glyceric acid 3TMS,Organic acids,SH,0.06,1,-0.479456063
"Lactose, TMS",Carbohydrates,SH,0.06,1,-0.375383847
β-D-Glucopyranose TMS,Carbohydrates,SH,0.06,1,0.161835617
5-Methoxyindoleacetic acid,Indoles,SH,0.06,1,0.177232219
Erythrose MEOX-3TMS,Carbohydrates,SH,0.06,1,-1.480046987
Glucose-MOX-5TMS-PK16,Carbohydrates,SH,0.06,1,1.256887546
"Xylose, TMS",Carbohydrates,SH,0.06,1,0.419262605
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.06,1,0.456520219
"Palmitic acid, TMS",Fatty acids,SH,0.06,1,0.589784346
L-Rhamnose 4TMS,Carbohydrates,SH,0.06,1,-1.080276025
